query_index,query,answer,category,gold_context_min,query_user
409,Which of Joanna's screenplay were rejected from production companies?,"first screenplay on drama and romance, third screenplay on loss identity and connection",1,"Nate, after finishing my screenplay I got a rejection letter from a major company. It really bummed me out. + Hey Nate, long time no see! The screenplay I sent in to the film festival has been on my mind all day everyday. I keep bouncing between crazy emotions like relief, excitement and worry! Fingers crossed a producer or director falls in love with it and it ends up on the big screen - that would be awesome! + Woohoo, Nate! I'm feeling a rollercoaster of emotions - relief, excitement, some anxiety - over finishing this project. Now I'm gonna submit it to some film festivals and (hopefully) get producers and directors to check it out. Here's hoping! + Well, I had a bit of a setback recently - another rejection from a production company. + Bummer, Joanna. Is this the one you sent to a film contest? Rejections suck, but don't forget they don't define you. Keep at it and you'll find the perfect opportunity.","Joanna,Nate"
410,When is Nate hosting a gaming party?,"The weekend after 3June, 2022.",2,Sounds great! Have fun with that. I'm organizing a gaming party two weekends later - it'll be hectic but fun!,"Joanna,Nate"
411,When did Joanna hike with her buddies?,"The weekend after 3June, 2022.",2,"Yep, I'm hiking with some buddies this weekend. We're checking out a new trail with a rad waterfall. Can't wait! Do you have any fun plans?","Joanna,Nate"
412,When did Nate win his third tourney?,"The week before 3June, 2022",2,"I've been doing great - I just won another regional video game tournament last week! It was so cool, plus I met some new people. Connecting with fellow gamers is always awesome.","Joanna,Nate"
413,What places has Joanna submitted her work to?,"film contest, film festival.",1,"Woohoo, Nate! I'm feeling a rollercoaster of emotions - relief, excitement, some anxiety - over finishing this project. Now I'm gonna submit it to some film festivals and (hopefully) get producers and directors to check it out. Here's hoping! + Hey Nate, long time no see! How have you been? I just got done submitting my recent screenplay to a film contest just to see how others might like it!","Joanna,Nate"
414,When did Nate make vegan icecream and share it with a vegan diet group?,"The Friday before 24June, 2022.",2,"Thanks! On another note, I made vegan ice cream last Friday and shared it with some people in my vegan diet group. It was awesome!","Joanna,Nate"
415,When is Joanna going to make Nate's ice cream for her family?,"The weekend of 24June, 2022.",2,Awesome! I'm going to make it for my family this weekend - can't wait!,"Joanna,Nate"
416,What kind of writings does Joanna do?,"Screenplays,books, online blog posts, journal",1,"Woo! I finally finished my first full screenplay and printed it last Friday. I've been working on for a while, such a relief to have it all done! + I will! I actually started on a book recently since my movie did well! + Hey Nate, long time no talk! I've been busy with writing projects and really going all out with it. It's been the best thing ever - a mix of highs and lows - and my journal's pretty much my rock. Writing's such a huge part of me now. + Yep. Last week, someone wrote me a letter after reading an online blog post I made about a hard moment in my life. Their words touched me; they said my story had brought them comfort. It was awesome to realize my words had that kind of power. It reminded me why I love writing.","Joanna,Nate"
417,When did Nate win his fourth video game tournament?,"The Friday before 10July, 2022.",2,"Hey Joanna, check this out! I won my fourth video game tournament on Friday! It was awesome competing and showing off my skills - and the victory was indescribable. I'm really proud that I can make money doing what I love. This one was online!","Joanna,Nate"
418,Where did Joanna travel to in July 2022?,Woodhaven,2,"Thanks Nate! Appreciate your kind words. I went to Woodhaven, a small town in the Midwest. Got to see some lovely scenery and historic buildings. Checked out the library there, it had a cool old book collection!","Joanna,Nate"
419,When did someone write Joanna a touching letter?,"The week before 14August, 2022.",2,"Yep. Last week, someone wrote me a letter after reading an online blog post I made about a hard moment in my life. Their words touched me; they said my story had brought them comfort. It was awesome to realize my words had that kind of power. It reminded me why I love writing.","Joanna,Nate"
420,What book recommendations has Joanna given to Nate?,"""Little Women"",'A Court of Thorns andRoses'.",1,"I just watched ""Little Women"" and it was amazing! It's a great story about sisterhood, love, and reaching for your dreams. Definitely a must-see! + I reccomend finding a fantasy book series to read through. Most fiction series are great reads when your trying to relax. + That's a great one! Let me know what you think when your finished!","Joanna,Nate"
421,When did Nate take time off to chill with his pets?,"The weekend of 22August, 2022.",2,I'm taking some time off this weekend to chill with my pets. Anything cool happening with you?,"Joanna,Nate"
422,When did Joanna share her book with her writers group?,"The week before 22August, 2022.",2,"I'm good! Was super nervous last week when I shared my book with my writers group but got some great feedback. My hard work is paying off, it's such an awesome feeling!","Joanna,Nate"
423,When did Nate win an international tournament?,"21 August, 2022",2,"Woah Joanna, I won an international tournament yesterday! It was wild. Gaming has brought me so much success and now I'm able to make a living at something I'm passionate about - I'm loving it.","Joanna,Nate"
